file_off	va	section	xref	len	text
0xd3bd4	0x4d57d4	.data	1	24	C:\Pacgen\src\purchase.c
0xd3bf0	0x4d57f0	.data	1	24	C:\Pacgen\src\purchase.c
0xd3c0c	0x4d580c	.data	1	24	C:\Pacgen\src\purchase.c
0xd3c28	0x4d5828	.data	1	24	C:\Pacgen\src\purchase.c
0xd3c44	0x4d5844	.data	1	24	C:\Pacgen\src\purchase.c
0xd3c60	0x4d5860	.data	1	5	%s %s
0xd3c68	0x4d5868	.data	1	24	C:\Pacgen\src\purchase.c
0xd3c84	0x4d5884	.data	1	24	C:\Pacgen\src\purchase.c
0xd3ca0	0x4d58a0	.data	1	24	C:\Pacgen\src\purchase.c
0xd3cbc	0x4d58bc	.data	1	24	C:\Pacgen\src\purchase.c
0xd3cdc	0x4d58dc	.data	1	24	C:\Pacgen\src\purchase.c
0xd3cf8	0x4d58f8	.data	1	24	C:\Pacgen\src\purchase.c
0xd3da4	0x4d59a4	.data	1	4	[%d]
0xd3db8	0x4d59b8	.data	1	4	[%d]
0xd3dcc	0x4d59cc	.data	1	4	[%d]
0xd3dd8	0x4d59d8	.data	1	4	[%d]
0xd3de4	0x4d59e4	.data	1	4	[%d]
0xd3df8	0x4d59f8	.data	1	4	[%d]
0xd3e44	0x4d5a44	.data	1	24	C:\Pacgen\src\purchase.c
0xd3e8c	0x4d5a8c	.data	1	24	C:\Pacgen\src\purchase.c
0xd3ea8	0x4d5aa8	.data	1	24	C:\Pacgen\src\purchase.c
0xd3ec4	0x4d5ac4	.data	1	24	C:\Pacgen\src\purchase.c
0xd3ee0	0x4d5ae0	.data	1	24	C:\Pacgen\src\purchase.c
0xd3efc	0x4d5afc	.data	1	24	C:\Pacgen\src\purchase.c
0xd3f18	0x4d5b18	.data	1	24	C:\Pacgen\src\purchase.c
0xd3f34	0x4d5b34	.data	1	24	C:\Pacgen\src\purchase.c
0xd3f50	0x4d5b50	.data	1	24	C:\Pacgen\src\purchase.c
0xd3f6c	0x4d5b6c	.data	1	24	C:\Pacgen\src\purchase.c
0xd3f88	0x4d5b88	.data	1	24	C:\Pacgen\src\purchase.c
0xd3fa4	0x4d5ba4	.data	1	24	C:\Pacgen\src\purchase.c
0xd3fc4	0x4d5bc4	.data	1	24	C:\Pacgen\src\purchase.c
0xd3fe0	0x4d5be0	.data	1	24	C:\Pacgen\src\purchase.c
0xd4040	0x4d5c40	.data	1	24	C:\Pacgen\src\purchase.c
0xd405c	0x4d5c5c	.data	1	24	C:\Pacgen\src\purchase.c
0xd4098	0x4d5c98	.data	1	24	C:\Pacgen\src\purchase.c
0xd40b8	0x4d5cb8	.data	1	24	C:\Pacgen\src\purchase.c
0xd40d4	0x4d5cd4	.data	1	24	C:\Pacgen\src\purchase.c
0xd4110	0x4d5d10	.data	1	24	C:\Pacgen\src\purchase.c
0xd4130	0x4d5d30	.data	1	24	C:\Pacgen\src\purchase.c
0xd414c	0x4d5d4c	.data	1	24	C:\Pacgen\src\purchase.c
0xd4188	0x4d5d88	.data	1	24	C:\Pacgen\src\purchase.c
0xd41a4	0x4d5da4	.data	1	24	C:\Pacgen\src\purchase.c
0xd41c0	0x4d5dc0	.data	1	24	C:\Pacgen\src\purchase.c
0xd41dc	0x4d5ddc	.data	1	24	C:\Pacgen\src\purchase.c
